nama_penjara,provinsi
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II LOMBOK TENGAH,NUSA TENGGARA BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MAMUJU,SULAWESI BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MANOKWARI,PAPUA BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MAROS,SULAWESI SELATAN
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MUARA BULIAN,JAMBI
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PALANGKARAYA,KALIMANTAN TENGAH
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PALU,SULAWESI TENGAH
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PANGKALPINANG,BANGKA BELITUNG
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PEKANBARU,RIAU
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II SAMARINDA,KALIMANTAN TIMUR
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II SUNGAI RAYA,KALIMANTAN BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TANJUNG PATI,SUMATERA BARAT
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TERNATE,MALUKU UTARA
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TOMOHON,SULAWESI UTARA
LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II YOGYAKARTA,D.I. YOGYAKARTA
RS PENGAYOMAN CIPINANG,DKI JAKARTA,,,,
RUTAN KELAS I BANDAR LAMPUNG,LAMPUNG
RUTAN KELAS I BANDUNG,JAWA BARAT
RUTAN KELAS I CIPINANG,DKI JAKARTA
RUTAN KELAS I CIREBON,JAWA BARAT
RUTAN KELAS I DEPOK,JAWA BARAT
RUTAN KELAS I JAKARTA PUSAT,DKI JAKARTA
RUTAN KELAS I LABUHAN DELI,SUMATERA UTARA
RUTAN KELAS I MAKASSAR,SULAWESI SELATAN
RUTAN KELAS I MEDAN,SUMATERA UTARA
RUTAN KELAS I PALEMBANG,SUMATERA SELATAN
RUTAN KELAS I PEKANBARU,RIAU
RUTAN KELAS I PONDOK BAMBU,DKI JAKARTA
RUTAN KELAS I SURABAYA,JAWA TIMUR
RUTAN KELAS I SURAKARTA,JAWA TENGAH
RUTAN KELAS I TANGERANG,BANTEN
RUTAN KELAS I TANJUNG PINANG,KEPULAUAN RIAU
RUTAN KELAS II A AMBON,MALUKU
RUTAN KELAS II A BATAM,KEPULAUAN RIAU
RUTAN KELAS II A KENDARI,SULAWESI TENGGARA
RUTAN KELAS II A MANADO,SULAWESI UTARA
RUTAN KELAS II A PALANGKARAYA,KALIMANTAN TENGAH
RUTAN KELAS II A PALU,SULAWESI TENGAH
RUTAN KELAS II A PEKALONGAN,JAWA TENGAH
RUTAN KELAS II A PONTIANAK,KALIMANTAN BARAT
RUTAN KELAS II A SAMARINDA,KALIMANTAN TIMUR
RUTAN KELAS II A YOGYAKARTA,D.I. YOGYAKARTA
RUTAN KELAS II B BAJAWA,NUSA TENGGARA TIMUR
RUTAN KELAS II B BALIGE,SUMATERA UTARA
RUTAN KELAS II B BALIKPAPAN,KALIMANTAN TIMUR
RUTAN KELAS II B BANDA ACEH,ACEH
RUTAN KELAS II B BANGIL,JAWA TIMUR
RUTAN KELAS II B BANGKALAN,JAWA TIMUR
RUTAN KELAS II B BANGLI,BALI
RUTAN KELAS II B BANJARNEGARA,JAWA TENGAH
RUTAN KELAS II B BANTAENG,SULAWESI SELATAN
RUTAN KELAS II B BANTUL,D.I. YOGYAKARTA
RUTAN KELAS II B BANYUMAS,JAWA TENGAH
RUTAN KELAS II B BARABAI,KALIMANTAN SELATAN
RUTAN KELAS II B BARRU,SULAWESI SELATAN
RUTAN KELAS II B BATANG,JAWA TENGAH
RUTAN KELAS II B BATURAJA,SUMATERA SELATAN
RUTAN KELAS II B BATUSANGKAR,SUMATERA BARAT
RUTAN KELAS II B BENER MERIAH,ACEH
RUTAN KELAS II B BENGKAYANG,KALIMANTAN BARAT
RUTAN KELAS II B BENGKULU,BENGKULU
RUTAN KELAS II B BINTUNI,PAPUA BARAT
RUTAN KELAS II B BLORA,JAWA TENGAH
RUTAN KELAS II B BOYOLALI,JAWA TENGAH
RUTAN KELAS II B BUNTOK,KALIMANTAN TENGAH
RUTAN KELAS II B DEMAK,JAWA TENGAH
RUTAN KELAS II B DONGGALA,SULAWESI TENGAH
RUTAN KELAS II B DUMAI,RIAU
RUTAN KELAS II B ENREKANG,SULAWESI SELATAN
RUTAN KELAS II B GARUT,JAWA BARAT
RUTAN KELAS II B GIANYAR,BALI
RUTAN KELAS II B GRESIK,JAWA TIMUR
RUTAN KELAS II B HUMBANG HASUNDUTAN,SUMATERA UTARA
RUTAN KELAS II B JANTHO,ACEH
RUTAN KELAS II B JENEPONTO,SULAWESI SELATAN
RUTAN KELAS II B JEPARA,JAWA TENGAH
RUTAN KELAS II B KABANJAHE,SUMATERA UTARA
RUTAN KELAS II B KANDANGAN,KALIMANTAN SELATAN
RUTAN KELAS II B KEBUMEN,JAWA TENGAH
RUTAN KELAS II B KEFAMENANU,NUSA TENGGARA TIMUR
RUTAN KELAS II B KLUNGKUNG,BALI
RUTAN KELAS II B KOLAKA,SULAWESI TENGGARA
RUTAN KELAS II B KOTA AGUNG,LAMPUNG
RUTAN KELAS II B KOTABUMI,LAMPUNG
RUTAN KELAS II B KOTAMOBAGU,SULAWESI UTARA
RUTAN KELAS II B KRAKSAAN,JAWA TIMUR
RUTAN KELAS II B KRUI,LAMPUNG
RUTAN KELAS II B KUALA KAPUAS,KALIMANTAN TENGAH
RUTAN KELAS II B KUDUS,JAWA TENGAH
RUTAN KELAS II B KUPANG,NUSA TENGGARA TIMUR
RUTAN KELAS II B LANDAK,KALIMANTAN BARAT
RUTAN KELAS II B LARANTUKA,NUSA TENGGARA TIMUR
RUTAN KELAS II B LUBUK SIKAPING,SUMATERA BARAT
RUTAN KELAS II B MAGETAN,JAWA TIMUR
RUTAN KELAS II B MAJENE,SULAWESI BARAT
