providerName,siteURL,imageURL,domain,estFoundingYear
LPK Dian Nusantara,http://dinus-solo.ac.id/category/info-dinus/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_Dian_Nusantara.png?v=3,dinus-solo.ac.id,
LPK ELRO COMPUTER,https://elrocomputer.com/kartu-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_ELRO_COMPUTER.png?v=3,elrocomputer.com,2020-04-27
LPK Indobank,https://www.indobanksekolahvokasi.id/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_Indobank.png?v=3,indobanksekolahvokasi.id,
LPK Kartika Sinar Persada,http://lpkkartikasp.id/artikel/prakerja---karier.mu-by-sekolah.mu,https://static-asset-cdn.prakerja.go.id/companies-logo/LPKKartikaSinarPersada.png?v=3,lpkkartikasp.id,
LPK Karya Jelita,https://karyajelita.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_Karya_Jelita.png?v=3,karyajelita.com,2017-08-19
LPK Merdika,https://merdikamadiun.com/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/lpkmerdika.png?v=3,merdikamadiun.com,2020-04-13
LPK Pembangunan,https://lpkpembangunan.sch.id/kartu_prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_Pembangunan.png?v=3,lpkpembangunan.sch.id,
LPK PUSAKA MULIA INSANI,https://edu-lpkpmi.com/program-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_PUSAKA_MULIA_INSANI.png?v=3,edu-lpkpmi.com,
LPK TIKOM,https://grouptikom.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_TIKOM.png?v=3,grouptikom.com,
LPK Wajo Intelektual Mandiri,https://www.lpkwim.com/-program-pelatihan-kartu-prakerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/LPK_Wajo_Intelektual_Mandiri.png?v=3,lpkwim.com,2021-06-16
LPKN MATARAM,http://www.lpkntrainingcenter.sch.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPKN-MATARAM.png?v=3,lpkntrainingcenter.sch.id,
LPKP ALBAR COLLEGE,https://albarcollege.com/tentang-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/LPKP-ALBAR-COLLEGE.png?v=3,albarcollege.com,2020-08-09
LPPK Wahana Tama,https://kursusmu.id/baca/tingkatkan-kompetensi-kerja-dengan-kartu-prakerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/LPPK_Wahana-Tama.png?v=3,kursusmu.id,
LSPR,lspr.edu/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/LSPR.png?v=3,lspr.edu,
Luar Sekolah,www.luarsekolah.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Luar_Sekolah.png?v=3,luarsekolah.com,
MagnaQM,https://prakerja.magnaqm.com,https://static-asset-cdn.prakerja.go.id/companies-logo/MagnaQM.png?v=3,prakerja.magnaqm.com,
MAOBISA.ID,https://maobisa.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/MAOBISA.png?v=3,maobisa.id,
Mastering Skill,https://www.masteringskill.com/pages/informasi-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Mastering_skills.png?v=3,masteringskill.com,2021-02-05
MDI Tack,https://trainingmarket.id/kartu-prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/TXu6M5sMDI.png?v=3,trainingmarket.id,
MDI Tack Training,https://trainingmarket.id/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/MDITackTraining.png?v=3,trainingmarket.id,
Mobile English,http://www.jixanindoprimaconsulting.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/MobileEnglish.png?v=3,jixanindoprimaconsulting.com,2020-07-08
